timestamp,id,group,action
2016-09-24 17:42:27.839496,804196,experiment,view
2016-09-24 19:19:03.542569,434745,experiment,view
2016-09-24 19:36:00.944135,507599,experiment,view
2016-09-24 19:59:02.646620,671993,control,view
2016-09-24 20:26:14.466886,536734,experiment,view
2016-09-24 20:32:25.712659,681598,experiment,view
2016-09-24 20:39:03.248853,522116,experiment,view
2016-09-24 20:57:20.336757,349125,experiment,view
2016-09-24 20:58:01.948663,349125,experiment,click
2016-09-24 21:00:12.278374,560027,control,view
2016-09-24 21:00:41.351487,265695,experiment,view
2016-09-24 21:05:15.348935,601714,experiment,view
2016-09-24 21:06:27.553057,601714,experiment,click
2016-09-24 21:09:09.046127,416862,experiment,view
2016-09-24 21:29:19.766467,487634,experiment,view
2016-09-24 21:30:02.739756,487634,experiment,click
2016-09-24 23:01:08.713402,468601,experiment,view
2016-09-24 23:01:12.108316,468601,experiment,click
2016-09-24 23:08:35.540897,293251,experiment,view
2016-09-24 23:50:31.623841,515303,experiment,view
2016-09-25 00:00:47.700734,555973,experiment,view
2016-09-25 00:01:47.933853,555973,experiment,click
2016-09-25 00:06:13.556666,756950,experiment,view
2016-09-25 00:25:14.141290,281985,control,view
2016-09-25 01:14:48.603202,407864,control,view
2016-09-25 02:16:11.046654,342984,control,view
2016-09-25 02:41:58.928919,716544,control,view
2016-09-25 02:52:43.844199,398892,control,view
2016-09-25 02:53:25.459874,398892,control,click
2016-09-25 03:28:47.603433,444902,experiment,view
2016-09-25 03:29:16.000743,444902,experiment,click
2016-09-25 03:50:39.942229,769969,control,view
2016-09-25 03:50:49.200721,462225,control,view
2016-09-25 03:51:40.536864,710625,experiment,view
2016-09-25 03:53:07.494954,667387,control,view
2016-09-25 04:14:28.942153,588929,experiment,view
2016-09-25 05:18:58.565357,544571,control,view
2016-09-25 05:19:15.810727,544571,control,click
2016-09-25 05:21:26.612444,824613,control,view
2016-09-25 05:42:34.858176,269335,experiment,view
2016-09-25 05:44:09.740212,269335,experiment,click
2016-09-25 05:47:10.299045,199091,control,view
2016-09-25 06:02:34.302094,694237,experiment,view
2016-09-25 06:36:22.815564,685428,experiment,view
2016-09-25 06:59:23.730896,596892,experiment,view
2016-09-25 07:00:09.016928,596892,experiment,click
2016-09-25 07:23:22.139057,653403,experiment,view
2016-09-25 07:24:28.569074,653403,experiment,click
2016-09-25 07:49:38.522862,408725,experiment,view
2016-09-25 08:07:19.474850,731880,experiment,view
2016-09-25 08:10:40.809288,922848,experiment,view
2016-09-25 08:11:34.739246,922848,experiment,click
2016-09-25 08:12:50.534459,547020,control,view
2016-09-25 08:22:31.565265,283438,experiment,view
2016-09-25 08:23:37.177352,283438,experiment,click
2016-09-25 08:24:31.192802,194950,control,view
2016-09-25 08:25:32.821891,194950,control,click
2016-09-25 09:43:32.734737,894454,control,view
2016-09-25 09:45:12.114972,894454,control,click
2016-09-25 10:08:18.615057,762607,experiment,view
2016-09-25 10:08:23.700888,370483,experiment,view
2016-09-25 10:09:35.151596,370483,experiment,click
2016-09-25 10:37:38.286145,639852,control,view
2016-09-25 10:38:53.299877,639852,control,click
2016-09-25 10:41:43.797432,826660,experiment,view
2016-09-25 10:42:44.524671,826660,experiment,click
2016-09-25 11:21:28.050884,381380,control,view
2016-09-25 11:21:45.746610,381380,control,click
2016-09-25 11:28:08.990099,192086,control,view
2016-09-25 12:21:40.028731,910738,control,view
2016-09-25 12:22:00.812144,910738,control,click
2016-09-25 12:23:18.701881,737242,control,view
2016-09-25 13:10:10.377296,631731,control,view
2016-09-25 13:11:19.374732,208738,experiment,view
2016-09-25 14:32:38.760699,284158,control,view
2016-09-25 14:42:42.277493,246990,experiment,view
2016-09-25 14:43:34.676181,246990,experiment,click
2016-09-25 14:56:09.503204,832871,experiment,view
2016-09-25 14:56:11.729274,832871,experiment,click
2016-09-25 15:39:27.699425,931724,control,view
2016-09-25 16:31:08.618030,461125,control,view
2016-09-25 16:31:42.041264,461125,control,click
2016-09-25 17:14:45.298832,694466,experiment,view
2016-09-25 17:44:28.498811,605472,control,view
2016-09-25 17:56:36.209195,394070,control,view
2016-09-25 18:50:14.277627,368583,control,view
2016-09-25 18:51:29.350926,368583,control,click
2016-09-25 19:22:15.472491,828518,experiment,view
2016-09-25 19:56:40.654548,561305,control,view
2016-09-25 20:04:36.875156,833404,experiment,view
2016-09-25 20:06:24.268109,808288,experiment,view
2016-09-25 20:12:49.736297,714681,experiment,view
2016-09-25 20:51:30.731753,456084,experiment,view
2016-09-25 20:56:05.599832,593665,control,view
2016-09-25 21:04:14.385072,752081,control,view
2016-09-25 22:12:01.772753,692154,experiment,view
2016-09-25 23:14:26.913489,262702,experiment,view
2016-09-25 23:58:05.454334,816232,experiment,view
2016-09-26 00:10:33.613867,489436,control,view
2016-09-26 00:16:56.198119,712525,control,view
2016-09-26 01:01:00.092113,697796,experiment,view
2016-09-26 01:03:41.816019,850998,experiment,view
2016-09-26 01:17:35.941622,839729,experiment,view
2016-09-26 01:18:15.158958,839729,experiment,click
2016-09-26 01:39:41.529853,398690,experiment,view
2016-09-26 02:38:53.847335,808250,experiment,view
2016-09-26 02:51:49.555121,631221,control,view
2016-09-26 03:06:30.020644,659470,control,view
2016-09-26 03:09:27.564230,332165,experiment,view
2016-09-26 03:10:55.775433,332165,experiment,click
2016-09-26 03:16:11.734454,591554,control,view
2016-09-26 03:18:24.639752,855872,control,view
2016-09-26 03:18:41.398393,855872,control,click
2016-09-26 03:49:38.429989,828173,control,view
2016-09-26 03:54:36.228671,810097,control,view
2016-09-26 03:59:19.412179,419098,control,view
